id,parent_id,order,unit_type,source_local_ids,source_path,line_start,line_end,source_sha256,translation_state,rights_component_ids
891d5085-7823-51b4-aaed-e800d34935e9,94c828eb-0092-5c7a-b594-f8a6f1008031,1,companion_gap,"[""O001"",""eoce_1_34"",""R011-B004""]",,,,,queued,"[""032d41d3-7787-53af-b311-8f14e5631f44""]"
8953f299-909a-5500-9c5f-46b560e50081,aa6de920-293e-53d9-bae5-bdb90e35f8f4,4,subsection,"[""variability"",""R011-B005""]",ch_summarizing_data/TeX/ch_summarizing_data.tex,650,818,14deb0c21823fe735c9ee8144e5341ba765924e682f581547a4815b2b0de906a,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
89852718-cd3e-517e-95ba-7daea0c05661,a485ca16-e7af-5fc9-a661-2481b3a87b29,1040,worked_example,"[""R011-B012""]",ch_probability/TeX/ch_probability.tex,1862,1893,00663cf4c0922337cb8fc0df68d3097e194326fc5d093603183f7255ac986616,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""f5cfd01e-9712-58ec-ac48-481f923814c1""]"
8a23e856-49af-570b-8460-82f99ced2ef0,b44842e4-51b4-52b7-8653-480ff0007c50,11,exercise,"[""air_quality_durham"",""eoce_2_11"",""R011-B005""]",ch_summarizing_data/TeX/examining_numerical_data.tex,153,177,4d4f544e337f989b295889b7de73345bd542c8b694a8d1e3244b1bcf0b287a8d,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
8b9932bf-3164-5e36-a64a-304ae1894c90,d7955a56-864b-500a-a33b-7c476b342c7e,26,exercise,"[""randomization_heart_transplants"",""eoce_2_26"",""R011-B007""]",ch_summarizing_data/TeX/case_study_malaria_vaccine.tex,53,104,b2d1ee372abaaac0c8d2aa66e5054dac9dd2284ffef6960b65fab90d2838b9c4,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
8be7cb0a-0a23-54f6-99da-04899215d5a2,13d6426f-763c-54c4-97d9-632bb975a7de,2,copyright_page,[],extraTeX/preamble/copyright_derivative.tex,1,8,3c473391733db54bf15ebd67fa77e35eaf461e0c68c33ee7c51295ca1331762d,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""947b6c3b-ce48-5326-b7af-6571830020d4""]"
8c1f82f6-34a3-53be-9da6-0fa74df91111,b44842e4-51b4-52b7-8653-480ff0007c50,20,exercise,"[""county_hispanic_pop"",""eoce_2_20"",""R011-B005""]",ch_summarizing_data/TeX/examining_numerical_data.tex,316,335,98504cc6b5f60249f899a9cb458f880dfda96a0cee2310628cb805a5c3e1242e,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
8cd11f37-e330-56f8-96c4-18968b901319,17acf038-9821-5e3d-9ffa-1526fab12218,5,guided_exercise,"[""nexercise-2.1-05"",""R011-B005""]",ch_summarizing_data/TeX/ch_summarizing_data.tex,528,534,1643e9fa6bf7a1848555cd6eb4268e1c77f33509b14b77241e70e51c963f16b9,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
8d4273a2-9a72-5027-8010-17f8e6328cf8,9608a696-6681-5299-bb35-eb0263f75a97,1,companion_gap,"[""R011-B015""]",,,,,queued,"[""032d41d3-7787-53af-b311-8f14e5631f44""]"
8d5e5ab9-c31c-537f-ba4a-0f8a898e573f,5172495b-cd2b-5f34-b695-29ce4bc07662,1,companion_gap,"[""O001"",""eoce_1_44"",""R011-B004R""]",,,,,queued,"[""032d41d3-7787-53af-b311-8f14e5631f44""]"
8d6c63f9-60c2-562b-84f3-86db59a7d01e,4855a03b-af6e-56cc-ad3b-7d0f5e26745e,30,exercise,"[""new_stat"",""eoce_2_30"",""R011-B008""]",ch_summarizing_data/TeX/review_exercises.tex,50,62,86f63ee75e68ee5bcb3f27c0c1a52e26c462b90a0203d21025d7431e48132483,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
8eb2d76e-01a5-5f6a-944c-4dc01adf6597,b82173dd-a963-514b-8628-cd6c9d97f633,1,solution,"[""% 43"",""eoce_sol_1_43"",""R011-B004R""]",extraTeX/eoceSolutions/eoceSolutions.tex,219,239,443f66fe6ca67a71716572a0a09951f970c7722d4aea5f8e5e1433ee05d7ff13,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
8f0807ed-49cf-58cd-829e-096e53f1df1c,76494447-2b5b-55a0-acf9-028b903fa8cb,1,solution,"[""% 19"",""eoce_sol_1_19"",""R011-B003""]",extraTeX/eoceSolutions/eoceSolutions.tex,91,95,d81168df6a0dd3cada0f020a24891fcf4feb5ffb83a15db26874aaa302ff0465,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
8f4e417c-5097-514a-9c06-f4a3c67e664b,bf8a9ea5-2ceb-51fa-b10f-4c470d3b7e00,27,solution,"[""answer_2_27"",""R011-B008""]",extraTeX/eoceSolutions/eoceSolutions.tex,373,382,e1f6089b747dd5cdecab3a87bb8d1019ffbc34a90892507b0fadfbb860f2f62e,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
